Customer_ID,City,City_Tier,Annual_Income,Annual_Spending,Purchase_Frequency,Spending_Score
88,Salem,3,521184,189050,28,0.363
89,Hyderabad,1,1178480,408149,27,0.346
90,Hyderabad,1,5178727,1528613,39,0.295
91,Gorakhpur,3,1112495,351409,29,0.316
92,Chandigarh,2,1267836,241144,32,0.190
93,Mumbai,1,2900021,907678,54,0.313
94,Gorakhpur,3,836584,274437,8,0.328
95,Hyderabad,1,4755488,1100181,33,0.231
96,Mumbai,1,2507923,908635,27,0.362
97,Salem,3,810704,231565,5,0.286
98,Bangalore,1,5101754,1103512,41,0.216
99,Chandigarh,2,1948685,766325,44,0.393
100,Jabalpur,3,334508,124775,23,0.373
101,Chandigarh,2,1699386,592580,41,0.349
102,Ujjain,3,1040477,306135,5,0.294
103,Chandigarh,2,1918175,381353,15,0.199
104,Gorakhpur,3,371836,81875,20,0.220
105,Delhi,1,4572962,735793,68,0.161
106,Indore,2,2260427,604632,42,0.267
107,Jaipur,2,1631565,605104,35,0.371
108,Lucknow,2,1187995,461260,23,0.388
109,Nagpur,2,1289852,371724,31,0.288
110,Chennai,1,915294,361617,54,0.395
111,Mumbai,1,5642611,1115700,40,0.198
112,Indore,2,2254272,433661,17,0.192
113,Lucknow,2,1189944,456984,24,0.384
114,Mumbai,1,3880761,1135181,22,0.293
115,Nagpur,2,536631,163002,32,0.304
116,Salem,3,473237,87558,27,0.185
117,Nagpur,2,1630650,602269,24,0.369
118,Chennai,1,3094544,1003418,59,0.324
119,Jaipur,2,1941578,465731,36,0.240
120,Bareilly,2,779036,274485,14,0.352
121,Chennai,1,2292785,694435,44,0.303
122,Mumbai,1,4842787,961624,64,0.199
123,Jaipur,2,1101863,384493,28,0.349
124,Mumbai,1,1248982,304621,34,0.244
125,Nagpur,2,1496161,475788,37,0.318
126,Lucknow,2,618834,116811,39,0.189
127,Jaipur,2,2199005,791055,43,0.360
128,Salem,3,427897,90955,26,0.213
129,Bareilly,2,270313,61041,10,0.226
130,Chennai,1,1261243,353855,56,0.281
131,Gorakhpur,3,1137012,444927,16,0.391
132,Ujjain,3,811523,132213,10,0.163
133,Chennai,1,1249395,356275,49,0.285
134,Mumbai,1,3854390,1277818,59,0.332
135,Ujjain,3,294476,82180,22,0.279
136,Mumbai,1,3767197,1313985,38,0.349
137,Hyderabad,1,2223286,347583,45,0.156
138,Nagpur,2,1556884,558913,44,0.359
139,Chennai,1,3641992,918649,31,0.252
140,Chennai,1,5744505,1496949,20,0.261
141,Indore,2,677247,117480,44,0.173
142,Bangalore,1,976615,214839,64,0.220
143,Jaipur,2,1682991,562917,43,0.334
144,Indore,2,1165022,352920,19,0.303
145,Delhi,1,4412610,1286316,31,0.292
146,Bangalore,1,2704050,486840,56,0.180
147,Chandigarh,2,855612,147977,28,0.173
148,Jaipur,2,2248014,512217,31,0.228
149,Bangalore,1,5073085,1362343,24,0.269
150,Chandigarh,2,1264121,344983,40,0.273
151,Jabalpur,3,556902,107649,8,0.193
152,Bareilly,2,259101,64678,9,0.250
153,Lucknow,2,1047337,323389,36,0.309
154,Salem,3,792673,193137,24,0.244
155,Chennai,1,4493305,1239181,38,0.276
156,Ujjain,3,391232,123110,28,0.315
157,Lucknow,2,1946403,326299,30,0.168
158,Bareilly,2,566326,88702,6,0.157
159,Chennai,1,4137690,1215936,39,0.294
160,Delhi,1,5530530,1463174,52,0.265
161,Chennai,1,3784626,1458466,62,0.385
162,Jabalpur,3,699522,273021,5,0.390
163,Jaipur,2,831593,165443,25,0.199
164,Bangalore,1,5103244,894060,31,0.175
165,Lucknow,2,1167521,202694,43,0.174
166,Gorakhpur,3,824674,138377,27,0.168
167,Jabalpur,3,749639,116807,14,0.156
168,Bangalore,1,865953,237279,60,0.274
169,Gorakhpur,3,282745,67034,25,0.237
170,Salem,3,735626,245528,28,0.334
171,Ujjain,3,260692,74816,29,0.287
172,Indore,2,1063044,310547,23,0.292
173,Chennai,1,1962928,496923,54,0.253
174,Chennai,1,4770001,1641372,68,0.344
175,Mumbai,1,4922263,1883697,42,0.383
176,Chennai,1,5055780,1300591,31,0.257
177,Bangalore,1,4541196,1537811,42,0.339
178,Lucknow,2,914568,343546,44,0.376
179,Gorakhpur,3,738685,263425,24,0.357
180,Bangalore,1,4064908,1005253,38,0.247
181,Lucknow,2,909995,342472,43,0.376
182,Bareilly,2,1154443,265323,13,0.230
183,Chennai,1,4421581,1714033,50,0.388
184,Delhi,1,5834834,996712,66,0.171
185,Bangalore,1,1839458,427059,31,0.232
186,Bangalore,1,3563642,1204844,40,0.338
187,Chennai,1,3219862,1118594,35,0.347
188,Delhi,1,2001193,798441,58,0.399
189,Bangalore,1,5883769,1966702,24,0.334
190,Gorakhpur,3,274460,89599,15,0.326
